dt,sensor,tmp,hum,press
"2016, 4, 7",sensor_0,35.59422222,34.27938889,101581.2399
"2016, 4, 7",sensor_0,34.75577778,42.84422222,101536.7236
"2016, 4, 7",sensor_0,33.89766667,52.23791667,101468.6437
"2016, 4, 7",sensor_0,31.90394444,62.07275,101415.8378
"2016, 4, 7",sensor_0,31.41627778,62.22908333,101404.9239
"2016, 4, 7",sensor_0,30.37861111,63.52108333,101427.466
"2016, 4, 7",sensor_0,29.55061111,69.29502778,101408.2372
"2016, 4, 7",sensor_0,29.76913889,70.37697222,101385.4069
"2016, 4, 7",sensor_0,29.70780556,72.68008333,101318.1367
"2016, 4, 7",sensor_0,29.02488889,78.36305556,101205.6031
"2016, 4, 7",sensor_0,29.61752778,78.96211111,101078.6875
"2016, 4, 7",sensor_0,30.06069444,79.68947222,100977.1665
"2016, 4, 7",sensor_0,30.73916667,77.13316667,100913.9619
"2016, 4, 7",sensor_0,30.41002778,78.24480556,100881.5681
"2016, 4, 7",sensor_0,30.69997222,76.75688889,100860.6402
"2016, 5, 7",sensor_0,31.18213889,74.63816667,100825.9984
"2016, 5, 7",sensor_0,31.44597222,73.80972222,100815.0898
"2016, 5, 7",sensor_0,32.70727778,69.52516667,100801.9604
"2016, 5, 7",sensor_0,38.57647222,51.28033333,100803.3166
"2016, 5, 7",sensor_0,37.74522222,50.88052778,100782.5219
"2016, 5, 7",sensor_0,36.18830556,54.02991667,100821.5519
"2016, 5, 7",sensor_0,37.47,49.55030556,100828.7198
"2016, 5, 7",sensor_0,41.38355556,41.32005556,100817.7817
"2016, 5, 7",sensor_0,42.5045,38.95838889,100808.9117
"2016, 5, 7",sensor_0,40.31323529,42.42558824,100798.3688
"2016, 5, 7",sensor_0,35.82074627,51.86164179,100772.3837
"2016, 5, 7",sensor_0,36.26431429,50.39845714,100794.8123
"2016, 5, 7",sensor_0,36.19244444,51.25255556,100837.0332
"2016, 5, 7",sensor_0,36.76477778,51.35944444,100895.4829
"2016, 5, 7",sensor_0,36.43258333,52.29713889,100948.1907
"2016, 5, 7",sensor_0,35.80658333,54.03975,100988.5719
"2016, 5, 7",sensor_0,35.27427778,55.7255,101032.8928
"2016, 5, 7",sensor_0,35.05597222,56.30333333,101028.6447
"2016, 5, 7",sensor_0,34.38636111,58.10363889,100996.2661
"2016, 5, 7",sensor_0,33.91586111,59.71241667,100951.3946
"2016, 5, 7",sensor_0,33.61472222,60.80438889,100963.3943
"2016, 5, 7",sensor_0,32.70094444,64.73461111,101040.4916
"2016, 6, 7",sensor_0,34.87438889,58.55072222,101130.9206
"2016, 6, 7",sensor_0,42.38783333,41.25186111,101180.7443
"2016, 6, 7",sensor_0,47.62377778,32.77072222,101164.7948
"2016, 6, 7",sensor_0,50.81083333,28.66197222,101133.4714
"2016, 6, 7",sensor_0,50.96427778,26.10641667,101115.4452
"2016, 6, 7",sensor_0,51.12341667,24.32613889,101116.4056
"2016, 6, 7",sensor_0,50.28763889,25.79711111,101107.4764
"2016, 6, 7",sensor_0,46.33113889,28.62408333,101062.005
"2016, 6, 7",sensor_0,46.85577778,28.80972222,100999.6444
"2016, 6, 7",sensor_0,42.61847222,34.02986111,100954.5414
"2016, 6, 7",sensor_0,42.17886111,35.59052778,100890.7526
"2016, 6, 7",sensor_0,40.34980556,39.59722222,100852.4416
"2016, 6, 7",sensor_0,38.88358333,44.01225,100827.4439
"2016, 6, 7",sensor_0,37.16744444,50.02316667,100844.4125
"2016, 6, 7",sensor_0,37.01522222,52.55886111,100866.9838
"2016, 6, 7",sensor_0,36.77691667,54.60822222,100888.5378
"2016, 6, 7",sensor_0,36.03963889,58.23808333,100919.2536
"2016, 6, 7",sensor_0,35.84438889,60.14519444,100930.7938
"2016, 6, 7",sensor_0,35.61994444,61.32686111,100941.6739
"2016, 6, 7",sensor_0,35.23563889,62.67897222,100941.1674
"2016, 6, 7",sensor_0,35.96975,59.98733333,100902.8526
"2016, 6, 7",sensor_0,35.93255556,60.00519444,100850.9969
"2016, 6, 7",sensor_0,35.73372222,60.47372222,100809.2101
"2016, 6, 7",sensor_0,35.0425,62.56247222,100803.372
"2016, 7, 7",sensor_0,37.26072222,56.42088889,100823.3584
"2016, 7, 7",sensor_0,44.50711111,40.70338889,100849.3444
"2016, 7, 7",sensor_0,49.52552778,33.91230556,100858.2876
"2016, 7, 7",sensor_0,50.85286111,32.75086111,100844.6611
"2016, 7, 7",sensor_0,46.87038889,37.90072222,100829.3686
"2016, 7, 7",sensor_0,47.03108333,34.40125,100786.2703
"2016, 7, 7",sensor_0,44.40161111,37.83427778,100767.9035
"2016, 7, 7",sensor_0,44.85688889,37.80338889,100679.1713
"2016, 7, 7",sensor_0,40.8621727,45.41083565,100610.9173
"2016, 7, 7",sensor_0,42.75988889,42.79077778,100591.9508
"2016, 7, 7",sensor_0,37.92511111,55.09038889,100601.1142
"2016, 7, 7",sensor_0,37.64627778,55.24711111,100610.672
"2016, 7, 7",sensor_0,36.13121569,57.32513725,100636.9226
"2016, 7, 7",sensor_0,33.82292683,69.00850174,100647.273
"2016, 8, 7",sensor_0,44.20344828,39.15844828,100908.9808
"2016, 8, 7",sensor_0,43.23344444,43.6995,100869.306
"2016, 8, 7",sensor_0,40.13452778,51.48330556,100884.2104
"2016, 8, 7",sensor_0,37.56838889,56.61472222,100878.0307
"2016, 8, 7",sensor_0,35.55155556,60.59863889,100871.6641
"2016, 8, 7",sensor_0,33.59630556,64.74472222,100883.8216
"2016, 8, 7",sensor_0,31.18961538,71.4193956,100912.561
"2016, 9, 7",sensor_0,26.66443182,89.55840909,101018.8142
"2016, 9, 7",sensor_0,28.38146479,79.22380282,100997.5544
"2016, 9, 7",sensor_0,27.50722034,83.3439661,100971.439
"2016, 9, 7",sensor_0,26.71144444,87.39244444,101020.7197
"2016, 9, 7",sensor_0,26.11867133,92.34454545,101015.6501
"2016, 9, 7",sensor_0,25.92325088,93.65310954,101082.9723
"2016, 9, 7",sensor_0,27.50181159,86.71333333,101139.2338
"2016, 10, 7",sensor_0,37.14180328,38.93819672,101872.576
"2016, 10, 7",sensor_0,41.77391667,30.82894444,101861.9964
"2016, 10, 7",sensor_0,42.60286111,28.69836111,101817.7073
"2016, 10, 7",sensor_0,40.19241722,31.53622517,101773.065
"2016, 11, 7",sensor_0,38.09380556,33.70416667,101819.8284
"2016, 11, 7",sensor_0,35.39827778,37.41597222,101813.4761
